CIDADE,ESTADO,QUANTIDADE_DE_INDICACOES,LAT,LON
ABADIA DOS DOURADOS,MINAS GERAIS        ,1,-18.4911191,-47.4063589
ABAETETUBA,PARA                ,2,-1.7217787,-48.8788106
ABELARDO LUZ,SANTA CATARINA,1,-26.5705893,-52.3280339
ACRELANDIA,ACRE                ,4,-10.0759167,-67.0526898
ADAMANTINA,SAO PAULO           ,6,-21.6866517,-51.0762975
AFOGADOS DA INGAZEIRA,PERNAMBUCO          ,2,-7.7481283,-37.6346614
AGRESTINA,PERNAMBUCO          ,4,-8.4558021,-35.9442663
AGROLANDIA,SANTA CATARINA,1,-27.4120688,-49.8294621
AGUA BOA,MINAS GERAIS        ,2,-17.9956411,-42.3899261
AGUA DOCE,SANTA CATARINA,4,-26.9986047,-51.5529306
AGUAS DE LINDOIA,SAO PAULO           ,1,-22.4718855,-46.6291034
AGUAS DE SANTA BARBARA,SAO PAULO           ,1,-22.8821912,-49.2383956
AGUAS DE SAO PEDRO,SAO PAULO           ,2,-22.6000681,-47.8750887
AGUAS FORMOSAS,MINAS GERAIS        ,4,-17.0834193,-40.9339978
AGUAS LINDAS DE GOIAS,GOIAS               ,3,-15.7392283,-48.2793357
AGUDOS,SAO PAULO           ,5,-22.4719836,-48.9884476
AGUIA BRANCA,ESPIRITO SANTO      ,3,-18.9847265,-40.7391844
ALAGOA,MINAS GERAIS        ,4,-22.1697202,-44.6400042
ALAGOA GRANDE,PARAIBA             ,1,-7.0415212,-35.6285322
ALAGOINHA,PERNAMBUCO          ,1,-8.4663372,-36.7748832
ALAGOINHAS,BAHIA               ,1,-12.133526,-38.420772
ALEM PARAIBA,MINAS GERAIS        ,4,-21.8760576,-42.6810473
ALEXANIA,GOIAS               ,2,-16.0834049,-48.5077803
ALFENAS,MINAS GERAIS        ,17,-21.4297405,-45.9479419
ALFREDO VASCONCELOS,MINAS GERAIS        ,3,-21.145833,-43.776389
ALMADINA,BAHIA               ,1,-14.7037948,-39.6384287
ALMENARA,MINAS GERAIS        ,2,-16.1753775,-40.6916675
ALMIRANTE TAMANDARE,PARANA,8,-25.3133048,-49.2997838
